Vietnamese,Anger,Disgust,Fear,Enjoyment,Sadness,Surprise,
la ó,0,0,0,0,0,0,0
lạc đề,0,0,0,0,0,0,0
lạc hậu,0,0,0,0,0,0,0
lạc mất,0,0,0,0,0,0,0
làm bóng,0,0,0,0,0,0,0
làm cho tin chắc,0,0,0,0,0,0,0
làm cho tinh khiết,0,0,0,0,0,0,0
làm cho tốt hơn,0,0,0,0,0,0,0
làm cho vững tâm,0,0,0,0,0,0,0
làm dáng,0,0,0,1,0,0,1
làm dịu,0,0,0,0,0,0,0
làm đỏm,0,0,0,1,0,0,1
làm giảm bớt,0,0,0,0,0,0,0
làm giàu,0,0,0,0,0,0,0
làm hài lòng,0,0,0,0,0,0,0
làm hết sức ngạc nhiên,0,0,0,0,0,1,1
làm hoảng hốt,0,0,0,0,0,1,1
làm hốt hoảng,0,0,0,0,0,1,1
làm kinh ngạc,0,0,0,0,0,1,1
làm láng,0,0,0,0,0,0,0
làm ngơ,0,0,0,0,0,0,0
lảm nhảm,0,0,0,0,0,0,0
làm nhẹ,0,0,0,0,0,0,0
làm ra vẻ,0,0,0,1,0,0,1
làm sửng sốt,0,0,0,0,0,1,1
làm tăng cao lên,0,0,0,0,0,0,0
làm thích nghi,0,0,0,0,0,0,0
Làm thích ứng,0,0,0,0,0,0,0
làm việc,0,0,0,0,0,0,0
lấn lướt,0,0,0,0,0,0,0
lần nữa,0,0,0,0,0,0,0
láng,0,0,0,0,0,0,0
lâng lâng,0,0,0,0,0,0,0
lành,0,0,0,0,0,0,0
lạnh buốt xương,0,0,0,0,0,0,0
lãnh đạo,0,0,0,0,0,0,0
lanh lảnh,0,0,0,0,0,0,0
lanh lẹ,0,0,0,1,0,0,1
lạnh lùng,0,0,0,0,0,0,0
lạnh nhạt,0,0,0,0,0,0,0
lạnh như băng,0,0,0,0,0,0,0
lạnh như đá,0,0,0,0,0,1,1
lanh thang,0,0,0,0,0,0,0
lâu lâu một lần,0,0,0,1,0,0,1
lây,0,0,0,0,0,0,0
lễ độ,0,0,0,0,0,0,0
lề mề,0,0,0,0,0,0,0
lếch thếch,0,0,0,0,0,0,0
lên cao,0,0,0,0,0,0,0
lên lớp,0,0,0,0,0,0,0
lên men,0,0,0,0,0,0,0
les,0,0,0,0,0,0,0
lesbian,0,0,0,0,0,0,0
lét,0,0,0,0,0,0,0
liến thoắng,0,0,0,0,0,1,1
ling thiêng,0,0,0,0,0,0,0
linh động,0,0,0,0,0,0,0
lĩnh hội,0,0,0,0,0,0,0
lĩnh hội nhanh,0,0,0,0,0,0,0
lỉnh kỉnh,0,0,0,0,0,0,0
linh thiêng,0,0,0,0,0,0,0
linh tinh,0,0,0,0,0,0,0
lờ đờ,0,0,0,0,0,0,0
lơ là,0,0,0,0,0,0,0
lố lăng,0,0,0,0,0,0,0
lỗ mãng,0,0,0,0,0,0,0
lờ mờ,0,0,0,0,0,0,0
loang lổ,0,0,0,1,0,0,1
lọc,0,0,0,0,0,0,0
loè loẹt,0,0,0,0,0,0,0
lời chứng,0,0,0,0,0,0,0
lời đồn,0,0,0,0,0,0,0
lợi ích,0,0,0,0,0,0,0
lôi kéo,0,0,0,0,0,0,0
lỗi lạc,0,0,0,0,0,0,0
lời nói minh bạch,0,0,0,0,0,0,0
lôi thôi,0,0,0,0,0,0,0
lỗi thời,0,0,0,0,0,0,0
lợi tích,0,0,0,0,0,0,0
lốm đốm,0,0,0,1,0,0,1
lông bông,0,0,0,0,0,0,0
lòng thòng,0,0,0,0,0,0,0
lũ,0,0,1,0,0,0,1
lụ khụ,0,0,0,0,0,0,0
lừ mờ,0,0,0,0,0,0,0
lụa,0,0,0,0,0,0,0
lựa chọn,0,0,0,0,0,0,0
lừa dối,0,0,0,0,0,0,0
lừa gạt,0,0,0,0,0,0,0
lực sĩ,0,0,0,0,0,0,0
lủng củng,0,0,0,0,0,0,0
lừng danh,0,0,0,0,0,0,0
lung lay,0,0,0,0,0,0,0
lung linh,0,0,0,0,0,0,0
lung tung,0,0,0,0,0,0,0
lười,0,0,0,0,0,0,0
lười biếng,0,0,0,0,0,0,0
lười nhác,0,0,0,0,0,0,0
luộm thuộm,0,0,0,0,0,0,0
lưu tâm,0,0,0,0,0,0,0
luyện tập,0,0,0,0,0,0,0
lý thuyết,0,0,0,0,0,0,0
mắc phải,0,0,0,0,0,0,0
mặc sức,0,0,0,0,0,0,0
mạch lạc,0,0,0,0,0,0,0
mãi mãi,0,0,0,0,0,0,0
mài mòn,0,0,0,0,0,0,0
mẫn cảm,0,0,0,0,0,0,0
mang bầu,0,0,0,0,0,0,0
mang thai,0,0,0,0,0,0,0
mang tính tiêu cực,0,0,0,0,0,0,0
mang tính xây dựng,0,0,0,0,0,0,0
mạnh,0,0,0,0,0,0,0
mạnh bạo,0,0,0,0,0,0,0
mạnh dạn,0,0,0,0,0,0,0
mảnh dẻ,0,0,0,0,0,0,0
mảnh khảnh,0,0,0,0,0,0,0
mạnh khoẻ,0,0,0,0,0,0,0
mãnh liệt,0,0,0,0,0,0,0
mánh lới,0,0,0,0,0,0,0
mập mạp,0,0,0,0,0,0,0
mập mờ,0,0,0,0,0,0,0
mặt bằng,0,0,0,0,0,0,0
mất bình tĩnh,0,0,0,0,0,0,0
mặt đối mặt,0,0,0,1,0,0,1
mất kiểm soát,0,0,0,0,0,0,0
mật thiết,0,0,0,0,0,0,0
mát tính,0,0,0,0,0,0,0
mau,0,0,0,0,0,0,0
màu hồng,0,0,0,1,0,0,1
mau lẹ,0,0,0,0,0,0,0
màu mè,0,0,0,0,0,0,0
màu tím,0,0,0,1,0,0,1
mầu tím,0,0,0,1,0,0,1
may đời,0,0,0,0,0,0,0
máy móc,0,0,0,0,0,0,0
mẹ,0,0,0,0,0,0,0
mê mệt,0,0,0,0,0,0,0
mềm dẻo,0,0,0,0,0,0,0
mềm mại,0,0,0,0,0,0,0
mềm mỏng,0,0,0,0,0,0,0
mềm oặt,0,0,0,1,0,0,1
mến khách,0,0,0,0,0,0,0
mệt lử cò bợ,0,0,0,0,0,0,0
mệt nhọc,0,0,0,0,0,0,0
miêu tả,0,0,0,0,0,0,0
mỡ,0,0,0,0,0,0,0
mở đầu,0,0,0,0,0,0,0
mơ hồ,0,0,0,0,0,0,0
mở mang,0,0,0,0,0,0,0
mỏ neo,0,0,0,0,0,0,0
mô tả,0,0,0,0,0,0,0
mơ ước,0,0,0,0,0,0,0
mọc trên thân,0,0,0,1,0,0,1
mới lớn,0,0,0,0,0,0,0
mới nhất,0,0,0,0,0,0,0
mới phát sinh,0,0,0,0,0,1,1
mới tinh,0,0,0,0,0,0,0
mong,0,0,0,0,0,0,0
mỏng dính,0,0,0,0,0,0,0
mong đợi,0,0,0,0,0,0,0
mong muốn,0,0,0,0,0,0,0
mỏng tang,0,0,0,0,0,0,0
mỏng tanh,0,0,0,0,0,0,0
một màu,0,0,0,0,0,0,0
một sắc,0,0,0,0,0,0,0
một vợ một chồng,0,0,0,0,0,0,0
mù quáng,0,0,0,0,0,0,0
mua vui,0,0,0,0,0,0,0
mục nát,0,0,0,0,0,0,0
mùi thơm,0,0,0,0,0,0,0
nấm mồ,0,1,0,0,0,0,1
nắm tay,0,0,0,0,0,0,0
năng cao,0,0,0,0,0,0,0
năng động,0,0,0,0,0,0,0
năng lực,0,0,0,0,0,0,0
nâng niu,0,0,0,0,0,0,0
năng suất cao,0,0,0,0,0,0,0
nặng trình trịch,0,0,1,0,0,0,1
náo loạn,0,0,0,0,0,0,0
nao núng,0,0,0,0,0,0,0
não nùng,0,0,0,0,0,0,0
nảy lửa,0,0,0,1,0,0,1
né được,0,0,0,0,0,0,0
nền móng,0,0,0,0,0,0,0
nền tảng,0,0,0,0,0,0,0
nết xấu,0,0,0,0,0,0,0
nêu trên,0,0,0,0,0,0,0
ngạc nhiên,0,0,0,0,0,1,1
ngại,0,0,0,0,0,0,0
ngắn,0,0,0,0,0,0,0
ngân hàng,0,0,0,0,0,0,0
ngăn lắp,0,0,0,0,0,0,0
ngăn nắp,0,0,0,0,0,0,0
ngắn ngủi,0,0,0,0,0,0,0
ngang đồng,0,0,0,0,0,0,0
ngạo nghễ,0,0,0,0,0,0,0
ngáp,0,0,0,0,0,0,0
ngất đi,0,0,0,0,0,0,0
ngẫu nhiên,0,0,0,0,0,0,0
ngậy,0,1,0,0,0,0,1
ngây thơ,0,0,0,0,0,0,0
nghe được,0,0,0,0,0,0,0
nghệ sĩ,0,0,0,0,0,0,0
nghệ thuật,0,0,0,0,0,0,0
nghề y,0,0,0,0,0,0,0
nghèo,0,0,0,0,0,0,0
nghèo khó,0,0,0,0,0,0,0
nghèo nàn,0,0,0,0,0,0,0
nghèo rớt,0,0,0,0,0,0,0
nghèo rớt mùng tơi,0,0,0,0,0,0,0
nghi hoặc,0,0,0,0,0,0,0
nghị lực,0,0,0,0,0,0,0
nghi ngại,0,0,0,0,0,0,0
nghi ngờ,0,0,0,0,0,0,0
nghịch ngợm,0,0,0,1,0,0,1
nghiêm,0,0,0,0,0,0,0
nghiêm chỉnh,0,0,0,0,0,0,0
nghiêm khắc,0,0,0,0,0,0,0
nghiêm ngặt,0,0,0,0,0,0,0
nghiêm trang,0,0,0,0,0,0,0
nghiêm túc,0,0,0,0,0,0,0
nghiện,0,0,0,0,0,0,0
nghiên cứu,0,0,0,0,0,0,0
ngộ,0,0,0,1,0,0,1
ngờ nghệch,0,0,0,0,0,0,0
ngờ vực,0,0,0,0,0,0,0
ngoài ý muốn,0,0,0,0,0,1,1
ngoạm,0,0,0,0,0,0,0
ngoan cố,0,0,0,0,0,0,0
ngoan cường,0,0,0,0,0,0,0
ngọc thạch,0,0,0,0,0,0,0
ngon ơ,0,0,0,0,0,0,0
ngột ngạt,0,0,0,0,0,0,0
ngữ âm,0,0,0,0,0,0,0
ngu dại,0,0,0,0,0,0,0
ngu đần,0,0,0,0,0,0,0
ngu dốt,0,0,0,0,0,0,0
ngu ngốc,0,0,0,0,0,0,0
ngữ vựng,0,0,0,0,0,0,0
ngựa giống,0,0,0,0,0,0,0
ngược lại,0,0,0,0,0,0,0
ngược với hiến pháp,0,0,0,0,0,0,0
người bào chữa,0,0,0,0,0,0,0
người chủ trương,0,0,0,0,0,0,0
người cuồng tín,0,0,0,0,0,0,0
người đi mượn,0,0,0,0,0,0,0
người gan lì,0,0,0,0,0,0,0
người lái,0,0,0,0,0,0,0
người mẫu,0,0,0,1,0,0,1
người thưa kiện,0,0,0,0,0,0,0
người tin,0,0,0,0,0,0,0
người vay,0,0,0,0,0,0,0
người vụng về,0,0,0,0,0,0,0
ngượng ngùng,0,0,0,0,0,0,0
nguy nan,0,0,0,0,0,0,0
nguy nga,0,0,0,0,0,0,0
ngụy trang,0,0,0,0,0,1,1
nguyên bản,0,0,0,0,0,0,0
nguyên cáo,0,0,0,0,0,0,0
nguyên khối,0,0,0,0,0,0,0
nguyên thuỷ,0,0,0,1,0,0,1
nguyên tử,0,0,0,0,0,0,0
nhà báo,0,0,0,0,0,0,0
nhà nước,0,0,0,0,0,0,0
nhà thiết kế,0,0,0,0,0,0,0
nhà vô địch,0,0,0,0,0,0,0
nhàm chán,0,0,0,0,0,0,0
nhậm chức,0,0,0,0,0,0,0
nham hiểm,0,0,0,0,0,0,0
nhàn,0,0,0,0,0,0,0
nhăn,0,0,0,0,1,0,1
nhân đức,0,0,0,0,0,0,0
nhàn hạ,0,0,0,0,0,0,0
nhân hậu,0,0,0,0,0,0,0
nhẵn lì,0,0,0,0,0,0,0
nhàn nhã,0,0,0,0,0,0,0
nhân nhượng,0,0,0,0,0,0,0
nhận ra,0,0,0,0,0,0,0
nhàn rỗi,0,0,0,0,0,0,0
nhân tài,0,0,0,0,0,0,0
nhàn tênh,0,0,0,0,0,0,0
nhẵn thín,0,0,0,0,0,1,1
nhân từ,0,0,0,0,0,0,0
nhân văn,0,0,0,0,0,0,0
nhân viên kế toán,0,0,0,0,0,0,0
nhặng bộ,0,0,0,0,0,0,0
nhanh,0,0,0,0,0,0,0
nhanh chóng,0,0,0,0,0,0,0
nhanh lẹ,0,0,0,0,0,0,0
nhạt,0,0,0,0,0,0,0
nhạt hoen hoét,0,0,0,0,0,0,0
nhạt hoét,0,0,0,0,0,0,0
nhạt nhẽo,0,0,0,0,0,0,0
nhạt nhoà,0,0,0,0,0,0,0
nhạt như nước ốc,0,0,0,0,0,0,0
nhạt phèo,0,0,0,0,0,0,0
nhất quyết,0,0,0,0,0,0,0
nhạt thếch,0,0,0,0,0,0,0
nhất trí,0,0,0,0,0,0,0
nhàu,0,0,0,0,1,0,1
nhạy cảm,0,0,0,0,0,0,0
nhậy cảm,0,0,0,0,0,0,0
nhẹ đi,0,0,0,0,0,0,0
nhễ nhại mồ hôi,0,0,0,0,0,0,0
nhẹ nhàng,0,0,0,0,0,0,0
nhẹ tay,0,0,0,0,0,0,0
nhếch nhác,0,0,0,0,0,0,0
nhem nhuốc,0,0,0,0,0,0,0
nhiễm bẩn,0,0,0,0,0,0,0
nhiễm độc,0,0,0,0,0,0,0
nhiễm phải,0,0,0,0,0,0,0
nhiếp chính,0,0,0,0,0,0,0
nhiều,0,0,0,0,0,0,0
nhiều chuyện,0,0,0,0,0,0,0
nhiều lắm,0,0,0,0,0,0,0
nhiều năng lượng,0,0,0,0,0,0,0
nhiều nhất,0,0,0,0,0,0,0
nhiều sao,0,0,0,1,0,0,1
nhiều tình cảm,0,0,0,0,0,0,0
nhiều vấn đề,0,0,0,0,0,0,0
nhiều việc,0,0,0,0,0,0,0
nhỉnh hơn,0,0,0,0,0,0,0
nhớ dai,0,0,0,0,0,0,0
nhớ lâu,0,0,0,0,0,0,0
nhỏ mọn,0,0,0,0,0,0,0
nhỏ nhen,0,0,0,0,0,0,0
nhơ nhớp,0,0,0,0,0,0,0
nhơ nhuốc,0,0,0,0,0,0,0
nhớ quê,0,0,0,0,1,0,1
nhỏ thó,0,0,0,0,0,0,0
nhói,0,0,0,0,0,0,0
nhom nhem,0,0,0,0,0,0,0
nhộn,0,0,0,1,0,0,1
nhộn nhịp,0,0,0,0,0,0,0
như con nít,0,0,0,0,0,0,0
nhu mì,0,0,0,0,0,0,0
nhu nhược,0,0,0,0,0,0,0
như nước,0,0,0,0,0,0,0
như trẻ con,0,0,0,0,0,0,0
nhún nhảy,0,0,0,1,0,0,1
nhung,0,0,0,0,0,0,0
nhút nhát,0,0,0,0,0,0,0
nín bặt,0,0,0,0,0,0,0
nín khe,0,0,0,0,0,0,0
nín thin thít,0,0,0,0,0,0,0
nín thít,0,0,0,0,0,0,0
nịnh nọt,0,0,0,0,0,0,0
nối,0,0,0,0,0,0,0
nổi,0,0,0,1,0,0,1
nói chuyện,0,0,0,0,0,0,0
nói dịu dàng,0,0,0,0,0,0,0
noi gương,0,0,0,0,0,0,0
nói nhẹ nhàng,0,0,0,0,0,0,0
nói nhiều,0,0,0,0,0,0,0
nói như khướu,0,0,0,0,0,0,0
nói thỏ thẻ,0,0,0,0,0,0,0
nói trước,0,0,0,0,0,0,0
non,0,0,0,0,0,0,0
non kinh nghiệm,0,0,0,0,0,0,0
non nớt,0,0,0,0,0,0,0
non trẻ,0,0,0,1,0,0,1
nóng bỏng,0,0,0,0,0,1,1
nóng bức,0,0,0,0,0,0,0
nông cạn,0,0,0,0,0,0,0
nòng cốt,0,0,0,0,0,0,0
nóng đổ mồ hôi,0,0,0,0,0,0,0
nóng nẩy,0,0,0,0,0,0,0
nóng như thiêu,0,0,0,0,0,0,0
nóng toát mồ hôi,0,0,0,0,0,0,0
nông trại,0,0,0,0,0,0,0
nóng vội,0,0,0,0,0,0,0
nộp,0,0,0,0,0,0,0
nửa chừng,0,0,0,0,0,0,0
nữa đường,0,0,0,0,0,0,0
nục nịch,0,0,0,0,0,0,0
nứng,0,0,0,0,0,0,0
nứng tình,0,0,0,0,0,0,0
nươc mắt,0,0,0,0,0,0,0
nước ngoài,0,0,0,1,0,0,1
nuông chiều,0,0,0,0,0,0,0
ở chĩnh thức,0,0,0,0,0,0,0
ở ngọn,0,0,0,0,0,0,0
ô uế,0,0,0,0,0,0,0
oai nghiêm,0,0,0,0,0,0,0
oai phong,0,0,0,0,0,0,0
oai vệ,0,0,0,0,0,0,0
oi nồng,0,0,0,0,0,0,0
ồn ào,0,0,0,0,0,0,0
ôn hoà,0,0,0,0,0,0,0
ơn huệ,0,0,0,0,0,0,0
óng ánh như bạc,0,0,0,1,0,0,1
ông hoàng,0,0,0,0,0,0,0
ọp ẹp,0,0,0,0,0,0,0
ớt cựa gà,0,0,0,0,0,0,0
pha lê,0,0,0,0,0,0,0
pha loãng,0,0,0,0,0,0,0
phải,0,0,0,0,0,0,0
phải chăng,0,0,0,0,0,0,0
phải chịu,0,0,0,0,0,0,0
phải lẽ,0,0,0,0,0,0,0
phải phép,0,0,0,0,0,0,0
phái sinh,0,0,0,0,0,1,1
phải trả giá,0,0,0,0,0,0,0
phàm ăn,0,0,0,0,0,0,0
phạm pháp,0,0,0,0,0,0,0
phân cách,0,0,0,0,0,0,0
phản cách mạng,0,0,0,0,0,0,0
phản đối chiến tranh,0,0,0,0,0,0,0
phấn khích,0,0,0,1,0,0,1
phân li,0,0,0,0,0,0,0
phân minh,0,0,0,0,0,0,0
phân quyền,0,0,0,0,0,0,0
phân tách,0,0,0,0,0,0,0
phân vân,0,0,0,0,0,0,0
phao cứu đắm,0,0,0,0,0,0,0
phạt,0,0,0,0,0,0,0
phát hiện ra,0,0,0,0,0,0,0
phát sinh,0,0,0,0,0,0,0
phê duyệt,0,0,0,0,0,0,0
phê phê,0,0,0,0,0,0,0
phi chính thống,0,0,0,0,0,0,0
phi hiện thực,0,0,0,0,0,0,0
phi không gian,0,0,0,1,0,0,1
phi lí,0,0,0,0,0,0,0
phi lý,0,0,0,0,0,0,0
phi nghĩa,0,0,0,0,0,0,0
phi thẩm mĩ,0,0,0,0,0,0,0
phi thẩm mỹ,0,0,0,0,0,0,0
phi thực,0,0,0,0,0,0,0
phi thực tế,0,0,0,0,0,0,0
phiền,0,0,0,0,0,0,0
phiền hà,0,0,0,0,0,0,0
phổ biến,0,0,0,0,0,0,0
phong cách,0,0,0,0,0,0,0
phong lữ,0,0,0,0,0,0,0
phong nhã,0,0,0,0,0,0,0
phủ băng,0,0,0,0,0,1,1
phủ đầy sương giá,0,0,0,1,0,0,1
phủ sương giá,0,0,0,1,0,0,1
phụ tá,0,0,0,0,0,0,0
phù trợ,0,0,0,0,0,0,0
phúc,0,0,0,0,0,0,0
phúc đời,0,0,0,0,0,0,0
phục hưng,0,0,0,0,0,0,0
phức tạp,0,0,0,0,0,0,0
phục tùng,0,0,0,0,0,0,0
phương tiện,0,0,0,0,0,0,0
quá cân bằng,0,0,0,0,0,0,0
quá cũ,0,0,0,0,0,0,0
quá cũ kĩ,0,0,0,0,0,0,0
quá độ,0,0,0,0,0,0,0
quá đỗi quen thuộc,0,0,0,0,0,0,0
quá già nua,0,0,0,0,0,0,0
quá khiêm tốn,0,0,0,0,0,0,0
quá kĩ càng,0,0,0,0,0,0,0
quá sức người,0,0,0,0,0,0,0
quá thừa,0,0,0,0,0,0,0
quá thừa thãi,0,0,0,0,0,0,0
quái,0,0,0,0,0,1,1
quái quỷ,0,0,1,0,0,0,1
quân át,0,0,0,0,0,0,0
quân bài chủ,0,0,0,0,0,1,1
quản đốc,0,0,0,0,0,0,0
quân đội,0,0,0,0,0,0,0
quáng mắt,0,0,0,0,0,0,0
quanh co,1,0,0,0,0,0,1
quật cường,0,0,0,0,0,0,0
quay cóp,0,0,0,0,0,0,0
quên mình,0,0,0,0,0,0,0
quý,0,0,0,0,0,0,0
quý báu,0,0,0,0,0,0,0
quý phái,0,0,0,0,0,0,0
quỷ quyệt,0,0,0,0,0,0,0
quý tộc,0,0,0,0,0,0,0
quyền thế,0,0,0,0,0,0,0
quyết chiến,0,0,0,0,0,0,0
quyết đấu,0,0,0,0,0,0,0
quyết liệt,0,0,0,0,0,0,0
ra sức,0,0,0,0,0,0,0
ra vẻ ta đây,0,0,0,0,0,0,0
rách,0,0,0,0,0,0,0
rạch ròi,0,0,0,0,0,0,0
rắn cấc,0,0,0,0,0,0,0
rắn chắc,0,0,0,0,0,0,0
rắn độc,0,0,1,0,0,0,1
rạn nứt,0,0,0,0,0,0,0
ráng sức,0,0,0,0,0,0,0
rảnh,0,0,0,0,0,0,0
rành rành,0,0,0,0,0,0,0
rảnh rỗi,0,0,0,0,0,0,0
rập khuôn,0,0,0,0,0,0,0
rất dư dật,0,0,0,0,0,0,0
rất gần,0,0,0,0,0,1,1
rất mệt,0,0,0,0,0,0,0
rất mực dồi dào,0,0,0,0,0,0,0
rất trẻ,0,0,0,0,0,0,0
rẽ đôi,0,0,0,0,0,0,0
rèn luyện,0,0,0,0,0,0,0
rõ rệt,0,0,0,0,0,0,0
rời đi,0,0,0,0,0,0,0
rống,1,0,0,0,0,0,1
rộng khắp,0,0,0,0,0,0,0
rộng rãi,0,0,0,0,0,0,0
rực lửa,0,1,0,0,0,0,1
rùng mình,0,0,0,0,0,0,0
rượu ngon,0,0,0,0,0,0,0
rượu táo,0,0,0,0,0,0,0
rút gọn,0,0,0,0,0,0,0
rụt rè,0,0,0,0,0,0,0
sa đoạ,0,0,0,0,0,0,0
sa lầy,0,0,0,0,0,0,0
sa sút,0,0,0,0,0,0,0
sạc,0,0,0,0,0,0,0
sắc bén,0,0,0,0,0,0,0
sắc sảo,0,0,0,0,0,0,0
sặc sỡ,0,0,0,0,0,0,0
sạch ra,0,0,0,0,0,0,0
sai,0,0,0,0,0,0,0
sai lầm,0,0,0,0,0,0,0
sai mục đích,0,0,0,0,0,0,0
sẵn lòng,0,0,0,1,0,0,1
sẵn sàng đối phó,0,0,0,0,0,0,0
sang,0,0,0,0,0,0,0
sáng dịu,0,0,0,1,0,0,1
sáng dịu nhẹ,0,0,0,1,0,0,1
sáng kiến,0,0,0,0,0,0,0
sáng tác,0,0,0,0,0,0,0
sáng tạo,0,0,0,0,0,0,0
sáng tỏ,0,0,0,0,0,0,0
sáng ý,0,0,0,0,0,0,0
sao lãng,0,0,0,0,0,0,0
sao nhàng,0,0,0,0,0,0,0
sắp,0,0,0,0,0,0,0
sắp đến,0,0,0,0,0,0,0
sắp tìm được,0,0,0,0,0,0,0
say mê quyến rũ,0,0,0,0,0,0,0
sẩy thai,0,0,0,0,0,0,0
sĩ diện,0,0,0,0,0,0,0
siêu hình,0,0,0,0,0,0,0
sinh đôi,0,0,0,0,0,0,0
sinh đôi cùng trứng,0,0,0,0,0,0,0
sơ cua,0,0,0,0,0,0,0
sơ hở,0,0,0,0,0,0,0
sơ sài,0,0,0,0,0,0,0
sớm,0,0,0,0,0,0,0
sớm rụng,0,0,1,0,0,0,1
sống động,0,0,0,0,0,0,0
sống lâu,0,0,0,0,0,0,0
sống sót,0,0,0,0,0,0,0
sốt,0,0,0,0,0,0,0
sư âu yếm,0,0,0,0,0,0,0
sự ban cho,0,0,0,0,0,0,0
sự bắt chước,0,0,0,0,0,0,0
sự công nhận,0,0,0,0,0,0,0
sự dã man,0,0,0,0,0,0,0
sự dàn trận,0,0,0,0,0,0,0
sự đi lên,0,0,0,0,0,0,0
sự điều tiết,0,0,0,0,0,0,0
sự hăng hái,0,0,0,0,0,0,0
sự kết hợp,0,0,0,0,0,0,0
sự liên hợp,0,0,0,0,0,0,0
sự rực rỡ,0,0,0,0,0,0,0
sự sáng ngời,0,0,0,0,0,0,0
sự tham dự,0,0,0,0,0,0,0
sự thăm hỏi,0,0,0,0,0,0,0
sự thanh toán,0,0,0,0,0,0,0
sự thích nghi,0,0,0,0,0,0,0
sự thông minh,0,0,0,0,0,0,0
sự tiến bộ,0,0,0,0,0,0,0
sự tính toán,0,0,0,0,0,0,0
sự trao đổi,0,0,0,0,0,0,0
sự vuốt ve,0,0,0,0,0,0,0
sự xây dựng,0,0,0,0,0,0,0
sửa,0,0,0,0,0,0,0
sửa đổi,0,0,0,0,0,0,0
sửa lại,0,0,0,0,0,0,0
sức hút,0,0,0,0,0,0,0
sục sôi,0,0,0,0,0,0,0
sủi bong bóng,0,0,0,1,0,0,1
sủi bọt,0,0,0,1,0,0,1
sủi tăm,0,0,0,1,0,0,1
súng cối,0,0,0,0,0,0,0
sũng nước,0,0,0,0,0,0,0
sùng tín,0,0,0,0,0,0,0
sướng miệng,0,0,0,0,0,0,0
suồng sã,0,0,0,1,0,0,1
sút kém,0,0,0,0,0,0,0
suy diễn,0,0,0,0,1,0,1
suy đồi,0,0,0,0,0,0,0
suy nhược,0,0,0,0,0,0,0
suy yếu,0,0,0,0,0,0,0
tả,0,0,0,0,0,0,0
tác phong,0,0,0,0,0,0,0
tách xa,0,0,0,0,0,0,0
tài,0,0,0,0,0,0,0
tài ba,0,0,0,0,0,0,0
tài giỏi,0,0,0,0,0,0,0
tài khéo léo,0,0,0,0,0,0,0
tái nhợt,0,0,0,0,0,0,0
tài sản,0,0,0,0,0,0,0
tài tử,0,0,0,0,0,0,0
tàm tạm,0,0,0,0,0,0,0
tàn,0,0,0,0,0,0,0
tan rã,0,0,0,0,0,0,0
tàn tạ,0,0,0,0,0,0,0
tan tác,0,0,0,0,0,0,0
tàn tệ,0,0,0,0,0,0,0
tán thành,0,0,0,0,0,0,0
tân tiến,0,0,0,0,0,0,0
tăng,0,0,0,0,0,0,0
tặng,0,0,0,0,0,0,0
táo bạo,0,0,0,0,0,0,0
tao nhã,0,0,0,0,0,0,0
táo tợn,0,0,0,0,0,0,0
tập trung,0,0,0,0,0,0,0
taxi,0,0,0,0,0,0,0
tay ngang,0,0,0,0,0,0,0
tẩy uế,0,0,0,0,0,0,0
tệ,0,0,0,0,0,0,0
tệ nhất,0,0,0,0,0,0,0
tế nhị,0,0,0,0,0,0,0
tếu,0,0,0,1,0,0,1
tếu táo,0,0,0,1,0,0,1
tha thiết,0,0,0,0,0,0,0
tha thứ,0,0,0,0,0,0,0
thác nước,0,0,0,0,0,0,0
tham,0,0,0,0,0,0,0
thâm,0,0,0,0,0,0,0
tham ăn,0,0,0,0,0,0,0
tham chiến,0,0,0,0,0,0,0
thăm dò,0,0,0,0,0,0,0
thâm hiểm,0,0,0,0,0,0,0
thầm kín,0,0,0,0,0,0,0
thẩm mỹ,0,0,0,0,0,0,0
thấm thía,0,0,0,0,0,0,0
thắm thiết,0,0,0,0,0,0,0
thân thể,0,0,0,1,0,0,1
thân tình,0,0,0,0,0,0,0
thần tượng,0,0,0,0,0,0,0
thăng,0,0,0,0,0,0,0
thăng cấp,0,0,0,0,0,0,0
thăng chúc,0,0,0,0,0,0,0
thặng dư,0,0,0,0,0,0,0
thẳng tính,0,0,0,0,0,0,0
thanh đạm,0,0,0,0,0,0,0
thành hình,0,0,0,0,0,0,0
thành văn,0,0,0,0,0,0,0
thành văn bản,0,0,0,0,0,0,0
thạo,0,0,0,0,0,0,0
thảo dược,0,0,0,0,0,0,0
thất sách,0,0,0,0,0,0,0
thật sự,0,0,0,0,0,0,0
thâu đêm,0,0,0,0,0,0,0
thay đổi,0,0,0,0,0,0,0
thấy được,0,0,0,0,0,0,0
thay mặt,0,0,0,0,0,0,0
thấy rõ,0,0,0,0,0,0,0
thế lực,0,0,0,0,0,0,0
then chốt,0,0,0,0,0,0,0
thẹn thùng,0,0,0,0,0,0,0
theo chiều hướng tích cực,0,0,0,0,0,0,0
theo luật pháp,0,0,0,0,0,0,0
thep pháp luật,0,0,0,0,0,0,0
thi nhân,0,0,0,0,0,0,0
thị trưởng,0,0,0,0,0,0,0
thích nghi,0,0,0,0,0,0,0
thích thể hiện,0,0,0,0,0,0,0
thích tranh cãi,0,0,0,0,0,0,0
thích trò chuyện,0,0,0,1,0,0,1
thích ứng,0,0,0,0,0,0,0
